,20,40,60,80,100
793.0,,1.64701404837e-05,1.85339224115e-05,2.03407880289e-05,2.19352100319e-05
792.0,,1.64668572906e-05,1.8535739352e-05,2.03472728935e-05,2.19458530661e-05
791.0,,1.64635087649e-05,1.85375065613e-05,2.03537250854e-05,2.19564799109e-05
790.0,,1.64600945088e-05,1.85392236548e-05,2.036014429e-05,2.19670903407e-05
789.0,,1.6456614121e-05,1.8540890252e-05,2.0366530188e-05,2.19776841124e-05
788.0,,1.645306719e-05,1.85425059756e-05,2.03728824628e-05,2.19882609863e-05
787.0,,1.64494533105e-05,1.85440704297e-05,2.03792007861e-05,2.19988207154e-05
786.0,,1.64457720725e-05,1.85455832373e-05,2.03854848406e-05,2.20093630533e-05
785.0,,1.64420230628e-05,1.85470440034e-05,2.03917342949e-05,2.20198877592e-05
784.0,,1.64382058726e-05,1.8548452334e-05,2.03979488184e-05,2.20303945687e-05
783.0,,1.64343200806e-05,1.85498078324e-05,2.04041280854e-05,2.20408832402e-05
782.0,,1.64303652728e-05,1.85511101028e-05,2.04102717474e-05,2.20513535168e-05
781.0,,1.64263410284e-05,1.8552358743e-05,2.04163794804e-05,2.20618051459e-05
780.0,,1.64222469214e-05,1.85535533532e-05,2.04224509382e-05,2.2072237861e-05
779.0,,1.64180825343e-05,1.85546935229e-05,2.04284857789e-05,2.20826514052e-05
778.0,,1.6413847438e-05,1.8555778844e-05,2.04344836541e-05,2.20930455064e-05
777.0,,1.64095412045e-05,1.85568089083e-05,2.04404442237e-05,2.21034199147e-05
776.0,,1.64051634054e-05,1.85577832958e-05,2.04463671286e-05,2.21137743461e-05
775.0,,1.64007136052e-05,1.85587015927e-05,2.04522520204e-05,2.21241085311e-05
774.0,,1.63961913717e-05,1.85595633827e-05,2.04580985387e-05,2.21344222106e-05
773.0,,1.63915962696e-05,1.85603682405e-05,2.04639063294e-05,2.21447150943e-05
772.0,,1.6386927861e-05,1.85611157412e-05,2.04696750257e-05,2.21549869053e-05
771.0,,1.63821857036e-05,1.85618054561e-05,2.0475404271e-05,2.216523737e-05
770.0,,1.6377369357e-05,1.8562436958e-05,2.04810936877e-05,2.21754662024e-05
769.0,,1.63724783776e-05,1.85630098105e-05,2.04867429096e-05,2.21856731182e-05
768.0,,1.63675123166e-05,1.85635235774e-05,2.0492351567e-05,2.21958578269e-05
767.0,,1.63624707274e-05,1.85639778238e-05,2.04979192824e-05,2.22060200354e-05
766.0,,1.63573531561e-05,1.85643721043e-05,2.05034456763e-05,2.2216159461e-05
765.0,,1.63521591546e-05,1.85647059735e-05,2.05089303649e-05,2.22262757978e-05
764.0,,1.63468882687e-05,1.85649789881e-05,2.0514372966e-05,2.22363687489e-05
763.0,,1.63415400376e-05,1.85651906963e-05,2.05197730916e-05,2.22464380202e-05
762.0,,1.63361140038e-05,1.85653406442e-05,2.05251303547e-05,2.22564832991e-05
761.0,,1.63306097108e-05,1.85654283748e-05,2.05304443536e-05,2.22665042859e-05
760.0,,1.63250266904e-05,1.85654534327e-05,2.05357147008e-05,2.22765006665e-05
759.0,,1.63243399935e-05,1.85654153538e-05,2.05409409908e-05,2.22864721388e-05
758.0,,1.63231387901e-05,1.85653136709e-05,2.05461228198e-05,2.22964183734e-05
757.0,,1.63218548016e-05,1.85651479206e-05,2.05512597931e-05,2.2306339068e-05
756.0,,1.63204874415e-05,1.85649176303e-05,2.05563514844e-05,2.23162338929e-05
755.0,,1.63190361244e-05,1.85646223277e-05,2.05613974964e-05,2.23261025308e-05
754.0,,1.6317500254e-05,1.85642615352e-05,2.05663974063e-05,2.23359446504e-05
753.0,,1.63158792324e-05,1.85638347715e-05,2.05713507978e-05,2.23457599294e-05
752.0,,1.63141724626e-05,1.85633415567e-05,2.05762572508e-05,2.23555480322e-05
751.0,,1.63123793421e-05,1.85627814034e-05,2.05811163357e-05,2.23653086273e-05
750.0,,1.63104992605e-05,1.85621538222e-05,2.05859276329e-05,2.23750413768e-05
749.0,,1.63085316066e-05,1.85614583239e-05,2.05906907009e-05,2.23847459409e-05
748.0,,1.63064757708e-05,1.85606944127e-05,2.05954051133e-05,2.2394421975e-05
747.0,,1.6304331134e-05,1.85598615875e-05,2.06000704304e-05,2.24040691324e-05
746.0,,1.63020970751e-05,1.85589593506e-05,2.06046862081e-05,2.24136870652e-05
745.0,,1.62997729683e-05,1.8557987194e-05,2.06092520048e-05,2.24232754219e-05
744.0,,1.6297358186e-05,1.85569446179e-05,2.06137673696e-05,2.24328338471e-05
743.0,,1.62948520958e-05,1.85558311046e-05,2.06182318536e-05,2.24423619802e-05
742.0,,1.62922540625e-05,1.85546461447e-05,2.06226449993e-05,2.24518594603e-05
741.0,,1.62895634485e-05,1.85533892154e-05,2.06270063564e-05,2.24613259292e-05
740.0,,1.62867796091e-05,1.85520598049e-05,2.06313154514e-05,2.24707610059e-05
739.0,,1.62839019014e-05,1.85506573829e-05,2.06355718246e-05,2.24801643274e-05
738.0,,1.62809296732e-05,1.85491814256e-05,2.06397750097e-05,2.24895355252e-05
737.0,,1.62778622698e-05,1.85476314057e-05,2.064392453e-05,2.24988742048e-05
736.0,,1.6274699037e-05,1.8546006786e-05,2.06480199097e-05,2.25081800009e-05
735.0,,1.62714393118e-05,1.85443070316e-05,2.0652060671e-05,2.25174525218e-05
734.0,,1.62680824322e-05,1.85425316069e-05,2.06560463322e-05,2.25266913803e-05
733.0,,1.6264627729e-05,1.85406799628e-05,2.06599764067e-05,2.25358961891e-05
732.0,,1.62610745312e-05,1.8538751557e-05,2.06638503976e-05,2.25450665473e-05
731.0,,1.62574221618e-05,1.85367458391e-05,2.06676678132e-05,2.25542020614e-05
730.0,,1.62536699414e-05,1.85346622568e-05,2.06714281618e-05,2.25633023274e-05
729.0,,1.62498171888e-05,1.8532500256e-05,2.06751309329e-05,2.25723669429e-05
728.0,,1.62458632209e-05,1.85302592713e-05,2.06787756286e-05,2.25813954969e-05
727.0,,1.62418073428e-05,1.85279387479e-05,2.06823617327e-05,2.25903875788e-05
726.0,,1.62376488631e-05,1.85255381136e-05,2.06858887338e-05,2.25993427739e-05
725.0,,1.62333870825e-05,1.85230567997e-05,2.06893561183e-05,2.2608260662e-05
724.0,,1.62290213029e-05,1.85204942355e-05,2.06927633603e-05,2.26171408149e-05
723.0,,1.6224550817e-05,1.85178498441e-05,2.06961099375e-05,2.26259828118e-05
722.0,,1.62199749184e-05,1.85151230444e-05,2.06993953237e-05,2.26347862203e-05
721.0,,1.62152928924e-05,1.85123132559e-05,2.07026189815e-05,2.26435506092e-05
720.0,,1.62105040249e-05,1.850941989e-05,2.07057803756e-05,2.26522755376e-05
719.0,,1.62056075985e-05,1.85064423556e-05,2.07088789652e-05,2.26609605584e-05
718.0,,1.62006028848e-05,1.85033800616e-05,2.07119142013e-05,2.26696052328e-05
717.0,,1.61954891615e-05,1.850023241e-05,2.07148855427e-05,2.26782091158e-05
716.0,,1.61902656962e-05,1.84969987983e-05,2.07177924315e-05,2.26867717381e-05
715.0,,1.61849317539e-05,1.8493678627e-05,2.07206343123e-05,2.26952926579e-05
714.0,,1.61794865965e-05,1.84902712849e-05,2.07234106222e-05,2.27037714046e-05
713.0,,1.61739294858e-05,1.84867761629e-05,2.07261207937e-05,2.27122075166e-05
712.0,,1.61682596723e-05,1.8483192644e-05,2.0728764258e-05,2.27206005222e-05
711.0,,1.61624764071e-05,1.84795201113e-05,2.07313404436e-05,2.27289499513e-05
710.0,,1.61565789409e-05,1.84757579441e-05,2.07338487691e-05,2.27372553223e-05
709.0,,1.61505665127e-05,1.84719055171e-05,2.07362886537e-05,2.27455161499e-05
708.0,,1.61444383674e-05,1.84679622015e-05,2.07386595094e-05,2.27537319581e-05
707.0,,1.61381937383e-05,1.84639273649e-05,2.07409607472e-05,2.27619022462e-05
706.0,,1.61318318567e-05,1.84598003684e-05,2.07431917659e-05,2.27700265261e-05
705.0,,1.6125351954e-05,1.84555805781e-05,2.07453519705e-05,2.27781042948e-05
